name                                                                                                                             TableName                                                                                                                        is_unique filter_definition                                                                                                                                                                                                                                               
clst                                                                                                                             syswebmethods                                                                                                                            1 NULL                                                                                                                                                                                                                                                            
clst                                                                                                                             sysbinobjs                                                                                                                               1 NULL                                                                                                                                                                                                                                                            
nc1                                                                                                                              sysbinobjs                                                                                                                               1 NULL                                                                                                                                                                                                                                                            
clust                                                                                                                            sysaudacts                                                                                                                               1 NULL                                                                                                                                                                                                                                                            
clst                                                                                                                             sysobjvalues                                                                                                                             1 NULL                                                                                                                                                                                                                                                            
clust                                                                                                                            syscscolsegments                                                                                                                         1 NULL                                                                                                                                                                                                                                                            
clust                                                                                                                            syscsdictionaries                                                                                                                        1 NULL                                                                                                                                                                                                                                                            
clst                                                                                                                             sysclsobjs                                                                                                                               1 NULL                                                                                                                                                                                                                                                            
nc                                                                                                                               sysclsobjs                                                                                                                               1 NULL                                                                                                                                                                                                                                                            
clust                                                                                                                            sysrowsetrefs                                                                                                                            1 NULL                                                                                                                                                                                                                                                            
clst                                                                                                                             sysremsvcbinds                                                                                                                           1 NULL                                                                                                                                                                                                                                                            
nc1                                                                                                                              sysremsvcbinds                                                                                                                           1 NULL                                                                                                                                                                                                                                                            
nc2                                                                                                                              sysremsvcbinds                                                                                                                           1 NULL                                                                                                                                                                                                                                                            
clst                                                                                                                             sysxmitqueue                                                                                                                             1 NULL                                                                                                                                                                                                                                                            
clst                                                                                                                             sysrts                                                                                                                                   1 NULL                                                                                                                                                                                                                                                            
nc1                                                                                                                              sysrts                                                                                                                                   1 NULL                                                                                                                                                                                                                                                            
nc2                                                                                                                              sysrts                                                                                                                                   1 NULL                                                                                                                                                                                                                                                            
clst                                                                                                                             sysconvgroup                                                                                                                             1 NULL                                                                                                                                                                                                                                                            
cl                                                                                                                               sysdesend                                                                                                                                1 NULL                                                                                                                                                                                                                                                            
cl                                                                                                                               sysdercv                                                                                                                                 1 NULL                                                                                                                                                                                                                                                            
clst                                                                                                                             syssingleobjrefs                                                                                                                         1 NULL                                                                                                                                                                                                                                                            
nc1                                                                                                                              syssingleobjrefs                                                                                                                         1 NULL                                                                                                                                                                                                                                                            
clst                                                                                                                             sysmultiobjrefs                                                                                                                          1 NULL                                                                                                                                                                                                                                                            
nc1                                                                                                                              sysmultiobjrefs                                                                                                                          1 NULL                                                                                                                                                                                                                                                            
cl                                                                                                                               sysguidrefs                                                                                                                              1 NULL                                                                                                                                                                                                                                                            
nc                                                                                                                               sysguidrefs                                                                                                                              1 NULL                                                                                                                                                                                                                                                            
clst                                                                                                                             sysfoqueues                                                                                                                              1 NULL                                                                                                                                                                                                                                                            
cl                                                                                                                               syschildinsts                                                                                                                            1 NULL                                                                                                                                                                                                                                                            
clst                                                                                                                             syscompfragments                                                                                                                         1 NULL                                                                                                                                                                                                                                                            
cl                                                                                                                               sysftsemanticsdb                                                                                                                         1 NULL                                                                                                                                                                                                                                                            
clst                                                                                                                             sysftstops                                                                                                                               1 NULL                                                                                                                                                                                                                                                            
clst                                                                                                                             sysftproperties                                                                                                                          1 NULL                                                                                                                                                                                                                                                            
nonclst                                                                                                                          sysftproperties                                                                                                                          1 NULL                                                                                                                                                                                                                                                            
nonclstgi                                                                                                                        sysftproperties                                                                                                                          1 NULL                                                                                                                                                                                                                                                            
clst                                                                                                                             sysxmitbody                                                                                                                              1 NULL                                                                                                                                                                                                                                                            
clst                                                                                                                             sysfos                                                                                                                                   1 NULL                                                                                                                                                                                                                                                            
nc1                                                                                                                              sysfos                                                                                                                                   1 NULL                                                                                                                                                                                                                                                            
clst                                                                                                                             sysqnames                                                                                                                                1 NULL                                                                                                                                                                                                                                                            
nc1                                                                                                                              sysqnames                                                                                                                                1 NULL                                                                                                                                                                                                                                                            
cl                                                                                                                               sysxmlcomponent                                                                                                                          1 NULL                                                                                                                                                                                                                                                            
nc1                                                                                                                              sysxmlcomponent                                                                                                                          1 NULL                                                                                                                                                                                                                                                            
cl                                                                                                                               sysxmlfacet                                                                                                                              1 NULL                                                                                                                                                                                                                                                            
cl                                                                                                                               sysxmlplacement                                                                                                                          1 NULL                                                                                                                                                                                                                                                            
nc1                                                                                                                              sysxmlplacement                                                                                                                          1 NULL                                                                                                                                                                                                                                                            
cl                                                                                                                               sysobjkeycrypts                                                                                                                          1 NULL                                                                                                                                                                                                                                                            
cl                                                                                                                               sysasymkeys                                                                                                                              1 NULL                                                                                                                                                                                                                                                            
nc1                                                                                                                              sysasymkeys                                                                                                                              1 NULL                                                                                                                                                                                                                                                            
nc3                                                                                                                              sysasymkeys                                                                                                                              1 NULL                                                                                                                                                                                                                                                            
clst                                                                                                                             syssqlguides                                                                                                                             1 NULL                                                                                                                                                                                                                                                            
nc1                                                                                                                              syssqlguides                                                                                                                             1 NULL                                                                                                                                                                                                                                                            
nc2                                                                                                                              syssqlguides                                                                                                                             1 NULL                                                                                                                                                                                                                                                            
clst                                                                                                                             sysbinsubobjs                                                                                                                            1 NULL                                                                                                                                                                                                                                                            
nc1                                                                                                                              sysbinsubobjs                                                                                                                            1 NULL                                                                                                                                                                                                                                                            
clst                                                                                                                             syssoftobjrefs                                                                                                                           1 NULL                                                                                                                                                                                                                                                            
nc1                                                                                                                              syssoftobjrefs                                                                                                                           1 NULL                                                                                                                                                                                                                                                            
sqlagent_jobs_clust                                                                                                              sqlagent_jobs                                                                                                                            1 NULL                                                                                                                                                                                                                                                            
sqlagent_jobs_nc1_name                                                                                                           sqlagent_jobs                                                                                                                            0 NULL                                                                                                                                                                                                                                                            
sqlagent_jobsteps_clust                                                                                                          sqlagent_jobsteps                                                                                                                        1 NULL                                                                                                                                                                                                                                                            
sqlagent_jobsteps_nc1                                                                                                            sqlagent_jobsteps                                                                                                                        1 NULL                                                                                                                                                                                                                                                            
sqlagent_jobsteps_nc2                                                                                                            sqlagent_jobsteps                                                                                                                        1 NULL                                                                                                                                                                                                                                                            
sqlagent_job_history_clust                                                                                                       sqlagent_job_history                                                                                                                     1 NULL                                                                                                                                                                                                                                                            
sqlagent_job_history_nc1                                                                                                         sqlagent_job_history                                                                                                                     0 NULL                                                                                                                                                                                                                                                            
sqlagent_jobsteps_logs_nc1                                                                                                       sqlagent_jobsteps_logs                                                                                                                   0 NULL                                                                                                                                                                                                                                                            
plan_persist_query_text_cidx                                                                                                     plan_persist_query_text                                                                                                                  1 NULL                                                                                                                                                                                                                                                            
plan_persist_query_text_idx1                                                                                                     plan_persist_query_text                                                                                                                  1 NULL                                                                                                                                                                                                                                                            
plan_persist_query_cidx                                                                                                          plan_persist_query                                                                                                                       1 NULL                                                                                                                                                                                                                                                            
plan_persist_query_idx1                                                                                                          plan_persist_query                                                                                                                       0 NULL                                                                                                                                                                                                                                                            
plan_persist_plan_cidx                                                                                                           plan_persist_plan                                                                                                                        1 NULL                                                                                                                                                                                                                                                            
plan_persist_plan_idx1                                                                                                           plan_persist_plan                                                                                                                        0 NULL                                                                                                                                                                                                                                                            
plan_persist_runtime_stats_cidx                                                                                                  plan_persist_runtime_stats                                                                                                               1 NULL                                                                                                                                                                                                                                                            
plan_persist_runtime_stats_idx1                                                                                                  plan_persist_runtime_stats                                                                                                               1 NULL                                                                                                                                                                                                                                                            
plan_persist_runtime_stats_interval_cidx                                                                                         plan_persist_runtime_stats_interval                                                                                                      1 NULL                                                                                                                                                                                                                                                            
plan_persist_runtime_stats_interval_idx1                                                                                         plan_persist_runtime_stats_interval                                                                                                      0 NULL                                                                                                                                                                                                                                                            
plan_persist_context_settings_cidx                                                                                               plan_persist_context_settings                                                                                                            1 NULL                                                                                                                                                                                                                                                            
plan_persist_query_hints_cidx                                                                                                    plan_persist_query_hints                                                                                                                 1 NULL                                                                                                                                                                                                                                                            
plan_persist_query_hints_idx1                                                                                                    plan_persist_query_hints                                                                                                                 0 NULL                                                                                                                                                                                                                                                            
plan_persist_query_template_parameterization_cidx                                                                                plan_persist_query_template_parameterization                                                                                             1 NULL                                                                                                                                                                                                                                                            
plan_persist_query_template_parameterization_idx1                                                                                plan_persist_query_template_parameterization                                                                                             1 NULL                                                                                                                                                                                                                                                            
plan_persist_wait_stats_cidx                                                                                                     plan_persist_wait_stats                                                                                                                  1 NULL                                                                                                                                                                                                                                                            
plan_persist_wait_stats_idx1                                                                                                     plan_persist_wait_stats                                                                                                                  1 NULL                                                                                                                                                                                                                                                            
ci_block_id                                                                                                                      db_ledger_blocks                                                                                                                         1 NULL                                                                                                                                                                                                                                                            
ci_block_id                                                                                                                      db_ledger_transactions                                                                                                                   1 NULL                                                                                                                                                                                                                                                            
nci_transaction_id                                                                                                               db_ledger_transactions                                                                                                                   1 NULL                                                                                                                                                                                                                                                            
IX_backup_metadata_start_date_metadata_uuid                                                                                      backup_metadata_store                                                                                                                    1 NULL                                                                                                                                                                                                                                                            
IX_backup_metadata_type_finish_date                                                                                              backup_metadata_store                                                                                                                    0 NULL                                                                                                                                                                                                                                                            
IX_backup_metadata_first_lsn                                                                                                     backup_metadata_store                                                                                                                    0 NULL                                                                                                                                                                                                                                                            
IX_backup_metadata_last_lsn                                                                                                      backup_metadata_store                                                                                                                    0 NULL                                                                                                                                                                                                                                                            
IX_backup_metadata_database_guid                                                                                                 backup_metadata_store                                                                                                                    0 NULL                                                                                                                                                                                                                                                            
plan_feedback_cidx                                                                                                               plan_persist_plan_feedback                                                                                                               1 NULL                                                                                                                                                                                                                                                            
plan_feedback_idx1                                                                                                               plan_persist_plan_feedback                                                                                                               0 NULL                                                                                                                                                                                                                                                            
plan_persist_query_variant_cidx                                                                                                  plan_persist_query_variant                                                                                                               1 NULL                                                                                                                                                                                                                                                            
plan_persist_query_variant_idx1                                                                                                  plan_persist_query_variant                                                                                                               0 NULL                                                                                                                                                                                                                                                            
ci_ledger_tables_history_internal                                                                                                ledger_tables_history_internal                                                                                                           1 NULL                                                                                                                                                                                                                                                            
ci_ledger_tables_history_internal_history                                                                                        ledger_tables_history_internal_history                                                                                                   0 NULL                                                                                                                                                                                                                                                            
